timestamp;motion;voltage;illuminace
2021-10-23T12:14:12.781682;664;7.23;612.68
2021-10-23T12:14:12.784478;664;7.23;612.68
2021-10-23T12:14:12.835459;664;7.23;612.68
2021-10-23T12:14:13.013505;664;7.51;612.68
2021-10-23T12:14:13.027027;664;7.51;612.68
2021-10-23T12:14:13.550958;664;7.51;612.68
2021-10-23T12:14:13.603951;664;7.51;612.68
2021-10-23T12:14:14.281885;664;7.51;612.68
2021-10-23T12:14:14.293270;664;7.51;612.68
2021-10-23T12:14:14.308609;664;7.51;597.85
2021-10-23T12:14:14.316957;664;7.51;597.85
2021-10-23T12:14:14.390039;580;7.51;597.85
2021-10-23T12:14:14.401427;580;7.51;597.85
2021-10-23T12:14:14.935821;580;7.54;597.85
2021-10-23T12:14:14.989387;580;7.54;597.85
2021-10-23T12:14:15.467959;580;7.54;597.85
2021-10-23T12:14:15.484658;580;7.54;597.85
2021-10-23T12:14:16.816026;580;7.58;597.85
2021-10-23T12:14:16.844092;580;7.58;597.85
2021-10-23T12:14:16.978817;580;7.58;597.85
2021-10-23T12:14:17.018918;580;7.58;610.73
2021-10-23T12:14:17.029938;580;7.58;610.73
2021-10-23T12:14:17.049493;580;7.58;610.73
2021-10-23T12:14:17.066541;580;7.58;610.73
2021-10-23T12:14:17.107006;580;7.58;610.73
2021-10-23T12:14:17.125408;318;7.58;610.73
2021-10-23T12:14:17.182351;318;7.58;610.73
2021-10-23T12:14:17.617452;318;7.58;610.73
2021-10-23T12:14:17.649094;318;7.58;610.73
2021-10-23T12:14:18.109390;318;7.58;610.73
2021-10-23T12:14:18.136501;318;7.58;597.46
2021-10-23T12:14:18.144683;318;7.58;597.46
2021-10-23T12:14:18.169707;318;7.58;597.46
2021-10-23T12:14:18.172965;318;7.58;597.46
2021-10-23T12:14:18.177983;318;7.58;597.46
2021-10-23T12:14:18.230318;254;7.58;597.46
2021-10-23T12:14:18.259575;254;7.58;597.46
2021-10-23T12:14:18.998389;254;7.24;597.46
2021-10-23T12:14:19.044339;254;7.24;597.46
2021-10-23T12:14:19.682758;254;7.24;597.46
2021-10-23T12:14:19.694713;254;7.24;597.46
2021-10-23T12:14:19.708435;254;7.24;618.92
2021-10-23T12:14:19.713523;254;7.24;618.92
2021-10-23T12:14:19.794743;272;7.24;618.92
2021-10-23T12:14:19.801016;272;7.24;618.92
2021-10-23T12:14:20.446935;272;7.51;618.92
2021-10-23T12:14:20.489077;272;7.51;618.92
2021-10-23T12:14:20.976749;272;7.51;618.92
2021-10-23T12:14:21.019439;272;7.51;618.92
2021-10-23T12:14:21.282313;272;7.51;618.92
2021-10-23T12:14:21.289591;272;7.51;618.92
2021-10-23T12:14:21.309746;272;7.51;622.82
2021-10-23T12:14:21.316819;272;7.51;622.82
2021-10-23T12:14:21.320347;272;7.51;622.82
2021-10-23T12:14:21.334372;272;7.51;622.82
2021-10-23T12:14:21.403549;524;7.51;622.82
2021-10-23T12:14:21.423417;524;7.51;622.82
2021-10-23T12:14:22.581332;524;7.56;622.82
2021-10-23T12:14:22.625332;524;7.56;622.82
2021-10-23T12:14:23.130652;524;7.56;622.82
2021-10-23T12:14:23.160445;524;7.56;620.09
2021-10-23T12:14:23.249686;825;7.56;620.09
2021-10-23T12:14:23.319336;825;7.56;620.09
2021-10-23T12:14:23.329897;825;7.56;620.09
2021-10-23T12:14:23.420993;825;7.56;620.09
2021-10-23T12:14:24.095094;825;7.46;620.09
