[2021-10-23T12:08:48.197133] data: motion: 95, sound: 65.47, illuminace: 516.29, temperature: 25.39
[2021-10-23T12:08:48.220630] data: motion: 95, sound: 65.47, illuminace: 516.29, temperature: 25.39
[2021-10-23T12:08:48.263576] data: motion: 95, sound: 65.47, illuminace: 516.29, temperature: 25.39
[2021-10-23T12:08:48.385536] data: motion: 95, sound: 48.82, illuminace: 516.29, temperature: 25.39
[2021-10-23T12:08:48.411367] data: motion: 95, sound: 48.82, illuminace: 518.63, temperature: 25.39
[2021-10-23T12:08:48.452662] data: motion: 95, sound: 48.82, illuminace: 518.63, temperature: 25.39
[2021-10-23T12:08:48.468024] data: motion: 95, sound: 48.82, illuminace: 518.63, temperature: 25.39
[2021-10-23T12:08:48.484002] data: motion: 95, sound: 48.82, illuminace: 518.63, temperature: 25.39
[2021-10-23T12:08:48.489775] data: motion: 95, sound: 48.82, illuminace: 518.63, temperature: 25.39
[2021-10-23T12:08:48.496531] data: motion: 246, sound: 48.82, illuminace: 518.63, temperature: 25.39
[2021-10-23T12:08:48.542060] data: motion: 246, sound: 48.82, illuminace: 518.63, temperature: 25.39
[2021-10-23T12:08:49.481440] data: motion: 246, sound: 48.82, illuminace: 518.63, temperature: 25.44
[2021-10-23T12:08:49.501076] data: motion: 246, sound: 48.82, illuminace: 518.63, temperature: 25.44
[2021-10-23T12:08:49.769865] data: motion: 246, sound: 48.82, illuminace: 518.63, temperature: 25.44
[2021-10-23T12:08:49.785061] data: motion: 246, sound: 48.82, illuminace: 518.63, temperature: 25.44
[2021-10-23T12:08:49.935465] data: motion: 246, sound: 54.45, illuminace: 518.63, temperature: 25.44
[2021-10-23T12:08:49.939509] data: motion: 246, sound: 54.45, illuminace: 518.63, temperature: 25.44
[2021-10-23T12:08:49.998898] data: motion: 246, sound: 54.45, illuminace: 517.85, temperature: 25.44
[2021-10-23T12:08:50.015651] data: motion: 246, sound: 54.45, illuminace: 517.85, temperature: 25.44
[2021-10-23T12:08:50.065289] data: motion: 246, sound: 54.45, illuminace: 517.85, temperature: 25.44
[2021-10-23T12:08:50.085532] data: motion: 246, sound: 54.45, illuminace: 517.85, temperature: 25.44
[2021-10-23T12:08:50.102731] data: motion: 251, sound: 54.45, illuminace: 517.85, temperature: 25.44
[2021-10-23T12:08:50.165038] data: motion: 251, sound: 54.45, illuminace: 517.85, temperature: 25.44
[2021-10-23T12:08:51.232690] data: motion: 251, sound: 50.31, illuminace: 517.85, temperature: 25.44
[2021-10-23T12:08:51.246624] data: motion: 251, sound: 50.31, illuminace: 517.85, temperature: 25.44
[2021-10-23T12:08:51.264977] data: motion: 251, sound: 50.31, illuminace: 518.63, temperature: 25.44
[2021-10-23T12:08:51.274130] data: motion: 251, sound: 50.31, illuminace: 518.63, temperature: 25.44
[2021-10-23T12:08:51.345147] data: motion: 181, sound: 50.31, illuminace: 518.63, temperature: 25.44
[2021-10-23T12:08:51.352008] data: motion: 181, sound: 50.31, illuminace: 518.63, temperature: 25.44
[2021-10-23T12:08:51.734504] data: motion: 181, sound: 50.31, illuminace: 518.63, temperature: 25.44
[2021-10-23T12:08:51.760954] data: motion: 181, sound: 50.31, illuminace: 518.63, temperature: 25.44
[2021-10-23T12:08:52.368850] data: motion: 181, sound: 50.31, illuminace: 518.63, temperature: 25.4
[2021-10-23T12:08:52.380521] data: motion: 181, sound: 50.31, illuminace: 518.63, temperature: 25.4
[2021-10-23T12:08:52.856196] data: motion: 181, sound: 50.31, illuminace: 518.63, temperature: 25.44
[2021-10-23T12:08:52.871329] data: motion: 181, sound: 50.31, illuminace: 518.63, temperature: 25.44
[2021-10-23T12:08:52.882422] data: motion: 181, sound: 50.31, illuminace: 518.63, temperature: 25.44
[2021-10-23T12:08:52.893508] data: motion: 181, sound: 50.31, illuminace: 518.63, temperature: 25.44
[2021-10-23T12:08:53.437978] data: motion: 181, sound: 54.27, illuminace: 518.63, temperature: 25.44
[2021-10-23T12:08:53.477785] data: motion: 181, sound: 54.27, illuminace: 519.41, temperature: 25.44
